주문일자,상품코드,상품명,수량,판매가,할인액,결제수단
2026-06-09,NR-CM-100,콜라겐 래핑 마스크,3,41100,0,카드
2026-06-04,NR-CC-075,시카 진정 크림,2,35800,0,간편결제
2026-06-18,NR-RE-020,리페어 아이크림,1,"₩24,200",2420,카드
2026-06-20,NR-CC-075,시카 진정 크림,1,"₩17,900",0,간편결제
2026-06-23,NR-RE-020,리페어 아이크림,3,"₩72,600",0,무통장
2026-06-02,NR-SC-050,데일리　선크림　SPF50,2,37800,0,간편결제
2026-06-14,NR-VT-200,비타민 브라이트 토너,1,"₩15,400",0,간편결제
2026-06-21,NR-EG-050,EGF 리페어 세럼,2,"₩78,800","11,820",간편결제
2026-06-20,NR-VT-200,비타민 브라이트 토너,1,"₩15,400",0,간편결제
2026-06-02,NR-CO-150,딥 클렌징 오일,1,14600,2190,카드
2026-06-24,NR-VT-200,비타민 브라이트 토너,3,46200,6930,무통장
2026-06-05,NR-VT-200,비타민　브라이트　토너,3,46200,0,간편결제
2026-06-26,NR-VT-200,비타민 브라이트 토너,1,"₩15,400",0,카드
2026-06-12,NR-CM-100,콜라겐 래핑 마스크,1,"₩13,700",0,카드
2026-06-01,NR-PA-030,펩타이드 앰플,2,48600,0,카드
2026-06-28,NR-VT-200,비타민 브라이트 토너,1,"₩15,400",0,간편결제
2026-06-16,NR-SC-050,데일리 선크림 SPF50,2,37800,0,간편결제
2026-06-21,NR-CO-150,딥 클렌징 오일,2,"₩29,200",0,무통장
2026-06-29,NR-PA-030,펩타이드 앰플,2,"₩48,600","7,290",무통장
2026-06-12,NR-SC-050,데일리 선크림 SPF50,2,"₩37,800",0,간편결제
2026-06-12,NR-CM-100,콜라겐 래핑 마스크,1,13700,0,간편결제
2026-06-28,NR-CO-150,딥　클렌징　오일,1,14600,0,간편결제
,,,,,,
2026-06-30,NR-PA-030,펩타이드 앰플,1,24300,0,간편결제
2026-06-22,NR-SC-050,데일리 선크림 SPF50,1,18900,"2,835",무통장
2026-06-28,NR-PA-030,펩타이드 앰플,1,24300,0,간편결제
2026-06-10,NR-CM-100,콜라겐 래핑 마스크,3,41100,0,무통장
2026-06-30,NR-CM-100,콜라겐 래핑 마스크,2,"₩27,400",4110,무통장
2026-06-19,NR-CC-075,시카 진정 크림,1,17900,0,카드
2026-06-17,NR-RE-020,리페어 아이크림,2,48400,0,간편결제
2026-06-26,NR-VT-200,비타민　브라이트　토너,3,46200,6930,간편결제
2026-06-01,NR-VT-200,비타민 브라이트 토너,2,30800,"3,080",카드
2026-06-18,NR-PA-030,펩타이드 앰플,1,24300,0,카드
2026-06-16,NR-CM-100,콜라겐 래핑 마스크,1,"₩13,700","1,370",카드
2026-06-11,NR-PA-030,펩타이드 앰플,1,24300,0,무통장
2026-06-19,NR-PA-030,펩타이드 앰플,3,"₩72,900","10,935",간편결제
2026-06-10,NR-VT-200,비타민 브라이트 토너,1,15400,"1,540",무통장
2026-06-11,NR-PA-030,펩타이드 앰플,1,"₩24,300",3645,무통장
2026-06-01,NR-CC-075,시카 진정 크림,1,"₩17,900",0,카드
2026-06-24,NR-CO-150,딥 클렌징 오일,1,"₩14,600",1460,카드
2026-06-17,NR-SC-050,데일리 선크림 SPF50,1,"₩18,900",0,카드
2026-06-12,NR-CC-075,시카　진정　크림,1,17900,0,카드
2026-06-29,NR-RE-020,리페어 아이크림,2,48400,4840,무통장
2026-06-03,NR-PA-030,펩타이드 앰플,3,"₩72,900","10,935",간편결제
2026-06-03,NR-VT-200,비타민 브라이트 토너,1,15400,0,간편결제
2026-06-18,NR-CO-150,딥 클렌징 오일,1,14600,0,간편결제
2026-06-10,NR-SC-050,데일리 선크림 SPF50,3,56700,0,무통장
2026-06-06,NR-VT-200,비타민 브라이트 토너,2,"₩30,800",0,간편결제
2026-06-07,NR-CO-150,딥 클렌징 오일,1,"₩14,600",0,무통장
2026-06-16,NR-CO-150,딥　클렌징　오일,3,43800,6570,카드
2026-06-06,NR-CO-150,딥 클렌징 오일,3,43800,6570,카드
2026-06-26,NR-SC-050,데일리 선크림 SPF50,1,"₩18,900","2,835",무통장
2026-06-18,NR-CO-150,딥 클렌징 오일,1,14600,0,카드
2026-06-27,NR-SC-050,데일리 선크림 SPF50,2,37800,"5,670",무통장
2026-06-07,NR-CO-150,딥　클렌징　오일,1,14600,1460,카드
2026-06-08,NR-CC-075,시카 진정 크림,1,17900,2685,간편결제
2026-06-15,NR-PA-030,펩타이드 앰플,3,"₩72,900",0,무통장
2026-06-14,NR-EG-050,EGF 리페어 세럼,1,39400,0,간편결제
2026-06-28,NR-PA-030,펩타이드 앰플,1,"₩24,300",0,카드
2026-06-07,NR-CO-150,딥 클렌징 오일,1,14600,"2,190",간편결제
2026-06-25,NR-CO-150,딥 클렌징 오일,3,"₩43,800",0,카드
2026-06-19,NR-EG-050,EGF 리페어 세럼,3,118200,0,무통장
2026-06-01,NR-CM-100,콜라겐 래핑 마스크,1,13700,2055,무통장
2026-06-19,NR-SC-050,데일리 선크림 SPF50,1,"₩18,900",0,무통장
2026-06-13,NR-SC-050,데일리 선크림 SPF50,1,18900,0,무통장
2026-06-24,NR-RE-020,리페어 아이크림,2,48400,0,무통장
,,,,,,
2026-06-22,NR-VT-200,비타민 브라이트 토너,2,30800,0,무통장
2026-06-07,NR-PA-030,펩타이드　앰플,1,24300,"3,645",무통장
2026-06-07,NR-PA-030,펩타이드 앰플,1,"₩24,300",3645,무통장
2026-06-04,NR-RE-020,리페어 아이크림,2,48400,7260,카드
2026-06-15,NR-PA-030,펩타이드 앰플,1,"₩24,300",0,무통장
2026-06-25,NR-VT-200,비타민 브라이트 토너,3,46200,"6,930",카드
2026-06-23,NR-CO-150,딥 클렌징 오일,3,"₩43,800",0,간편결제
